food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
128942,22191,Nathan's Famous Hot Dog,100 g,309,20.1,7.8,0,35.4,684,22.7,1.3,0,10.6,0,0,51.2,2.1,0,0,0
128943,22191,Hot Dog Nuggets,6 nuggets - 98.7 g,350.6,27.6,4,0,20,400.2,20,0,5,5,0,0,0,1.8,0,0,0
128944,22192,1/4 lb Burger,248.2 g,536.5,30.1,12,0,90,813.4,42.3,1.7,11.3,24.5,7.6,14.5,77.4,4,0,0,0
128945,22192,1/4 lb Burger with Cheese,304.9 g,850.4,61.5,21.1,0,135.6,1238.7,45.4,1.7,11.3,29.6,7.6,14.5,229.2,4,0,0,0
128946,22192,Super Burger,373.2 g,863.9,61.7,21.1,0,135.6,1245.4,42.2,2.6,12.9,30.2,20.7,138.5,242.3,4.3,0,0,0
128947,22192,Bacon Cheeseburger,287 g,706.9,43.8,20.1,0,128.4,1340.1,43.3,1.7,11.3,32.2,7.6,14.5,229.2,4,0,0,0
128948,22193,Cheesesteak - Original,319.8 g,741,42.8,18.7,0,124,1239,50.3,4,6.5,44.5,3.6,0,234.9,5.7,0,0,0
128949,22193,Cheesesteak - Supreme,404.8 g,786,43,18.7,0,124,1524.9,60.8,4.8,10.9,45.4,4.1,0,232.6,6.6,0,0,0
128950,22193,Chicken Cheesesteak,334 g,565.1,19,9.7,0,81,1786.2,62.5,4.8,10.9,38.4,5.1,0,252.6,4.4,0,0,0
128951,22194,Fish Sandwich,216.7 g,468.8,20.2,3.6,0,34.2,750,41.7,13.3,14.4,14.3,4.8,6.4,66.4,2.3,0,0,0
128952,22194,Fish N Chips,602.8 g,1537.7,101.2,16.7,0,110.9,2152.2,131.9,9.5,38.6,31.3,38.1,37.3,180.1,4.2,0,0,0
128953,22194,Shrimp N Chips,850.6 g,2051.4,123.7,12.9,0,222.4,3433.5,225.1,12,51.4,51.4,40.5,0,325.9,5.5,0,0,0
128954,22194,Seafood Sampler,997.4 g,3378.6,269.9,29.1,0,156.1,3552.7,226.7,14.5,49.1,56.1,40.5,0,344.3,8.5,0,0,0
128955,22194,Fish Sandwich,165.4 g,396.4,17.1,3.4,0,49.2,695.8,45.2,1.1,11.9,14.4,3.6,0,60.8,2.1,0,0,0
128956,22194,Cole Slaw,141.8 g,212.6,8.5,1.4,0,7.1,326,34,2.8,29.8,1.4,29.8,0,56.7,0.5,0,0,0
128957,22194,Hush Puppy,2 pieces - 65.6 g,276.7,10,1.8,0,4.8,966.7,42.4,2.2,6.7,4.8,1.1,0,107.2,1.6,0,0,0
128958,22195,French Fries,regular - 273.2 g,546.6,37.7,3.7,0,0,200.4,46.4,5.8,0,5.8,10.5,0,0.2,1,0,0,0
128959,22195,French Fries,large - 380.7 g,758.6,52.2,5.1,0,0,278.1,64.8,8.1,0,8.1,14.6,0,0.2,1.5,0,0,0
128960,22195,French Fries,super - 593.9 g,1188.1,81.9,8,0,0,432.8,101,12.6,0,12.6,22.7,0,0.3,2.3,0,0,0
128961,22195,Onion Rings,small - 159.1 g,558.5,44,6.3,0,0,575.6,35.8,1.6,4.7,3.1,3.7,0,0,1.1,0,0,0
128962,22195,Onion Rings,large - 212.1 g,744.7,58.6,8.5,0,0,767.5,47.7,2.1,6.2,4.2,5,0,0,1.5,0,0,0
128963,22196,Chicken Tenders,3 tenders - 174 g,512,37.5,5.5,0,30,900,24,3,7.5,21,1.8,0,0,1.1,0,0,0
128964,22196,Chicken Tender Platter,618.1 g,1300.9,83.2,10.2,0,104.6,1058.8,109,8.8,31.8,32.6,39.1,0,76.8,2.7,0,0,0
128965,22196,Chicken Breast Platter,570.1 g,943.2,54.2,7.2,0,84.2,977.9,88.7,9.2,32,27.9,41.2,9.4,102.3,3,0,0,0
128966,22196,Grilled Chicken Sandwich,266.9 g,523.6,29.5,5.1,0,67.4,1179.2,42.1,1.8,9.3,24.7,13.4,34.2,87.4,2.8,0,0,0
128967,22196,Chicken Tender Sandwich,284.7 g,724.9,47.5,6.7,0,65.3,1007.5,55.5,1.9,9.3,21.7,15.2,66.3,69.8,2.6,0,0,0
128968,22196,Chicken Tender Pita,252.1 g,610.3,38.2,5,0,64.8,1009.5,45.3,2.3,7.8,21.8,10.8,35.2,51.7,2,0,0,0
128969,22197,Corn Muffin,56.7 g,162.8,6.1,0.8,0,0,243.8,24.8,0.5,10.4,2.2,0.2,0,12.7,0,0,0,0
